Datetimecombined,original_Latitude,original_Longitude,Date,Time,datetime,Latitude,Longitude
06-12-2025 12:53:18,13.0154891666666,80.2405293333333,2025-12-06,12:53:18,2025-12-06 12:53:18,13.015493733334866,80.24049078973069
06-12-2025 12:53:19,13.0155498333333,80.2404998333333,2025-12-06,12:53:19,2025-12-06 12:53:19,13.015550030077172,80.24049830162129
06-12-2025 12:53:20,13.0155865,80.2405673333333,2025-12-06,12:53:20,2025-12-06 12:53:20,13.015594602073717,80.24050425623508
06-12-2025 12:53:21,13.0158583333333,80.2405978333333,2025-12-06,12:53:21,2025-12-06 12:53:21,13.01586629314306,80.2405439155348
06-12-2025 12:53:22,13.0160326666666,80.2405813333333,2025-12-06,12:53:22,2025-12-06 12:53:22,13.016033968417986,80.24057474794185
06-12-2025 12:53:23,13.0161686666666,80.2405668333333,2025-12-06,12:53:23,2025-12-06 12:53:23,13.016161902814298,80.24060105080463
06-12-2025 12:53:24,13.01606,80.2406841666666,2025-12-06,12:53:24,2025-12-06 12:53:24,13.016079767779708,80.2405841641271
06-12-2025 12:53:25,13.0163531666666,80.2405325,2025-12-06,12:53:25,2025-12-06 12:53:25,13.016332675728593,80.24063616115352
06-12-2025 12:53:26,13.0163933333333,80.240659,2025-12-06,12:53:26,2025-12-06 12:53:26,13.016395302730851,80.24064903706963
06-12-2025 12:53:27,13.0163988333333,80.2406028333333,2025-12-06,12:53:27,2025-12-06 12:53:27,13.016389918931713,80.24064793017712
06-12-2025 12:53:28,13.0164616666666,80.240559,2025-12-06,12:53:28,2025-12-06 12:53:28,13.0164419721504,80.2406586321603
06-12-2025 12:53:29,13.0164963333333,80.2405778333333,2025-12-06,12:53:29,2025-12-06 12:53:29,13.01647886239347,80.24066621668428
06-12-2025 12:53:30,13.016649,80.240757,2025-12-06,12:53:30,2025-12-06 12:53:30,13.01666033605039,80.24070435716855
06-12-2025 12:53:31,13.0167911666666,80.2408778333333,2025-12-06,12:53:31,2025-12-06 12:53:31,13.016820784446345,80.24074029312682
06-12-2025 12:53:32,13.0168915,80.2408403333333,2025-12-06,12:53:32,2025-12-06 12:53:32,13.01690539879543,80.2407550910975
06-12-2025 12:53:33,13.0168375,80.2407816666666,2025-12-06,12:53:33,2025-12-06 12:53:33,13.016843543539684,80.24074460121682
06-12-2025 12:53:34,13.0170506666666,80.240822,2025-12-06,12:53:34,2025-12-06 12:53:34,13.017060060896926,80.24078177434056
06-12-2025 12:53:35,13.01705,80.240869,2025-12-06,12:53:35,2025-12-06 12:53:35,13.017069817097907,80.24078414413862
06-12-2025 12:53:36,13.0172298333333,80.240846,2025-12-06,12:53:36,2025-12-06 12:53:36,13.017234913630157,80.24082424639705
06-12-2025 12:53:37,13.0172235,80.240885,2025-12-06,12:53:37,2025-12-06 12:53:37,13.017237539342371,80.24082488418787
06-12-2025 12:53:38,13.0172361666666,80.2409048333333,2025-12-06,12:53:38,2025-12-06 12:53:38,13.017289473888606,80.24083749919717
06-12-2025 12:53:39,13.0176321666666,80.2409328333333,2025-12-06,12:53:39,2025-12-06 12:53:39,13.017635154706614,80.24091952489198
06-12-2025 12:53:40,13.0177006666666,80.2409121666666,2025-12-06,12:53:40,2025-12-06 12:53:40,13.017695833116825,80.24093369483838
06-12-2025 12:53:41,13.0177071666666,80.2409915,2025-12-06,12:53:41,2025-12-06 12:53:41,13.017718933993356,80.24093908948007
06-12-2025 12:53:42,13.0177355,80.2409675,2025-12-06,12:53:42,2025-12-06 12:53:42,13.017730883629637,80.24094188002415
06-12-2025 12:53:43,13.0178618333333,80.2409536666666,2025-12-06,12:53:43,2025-12-06 12:53:43,13.017730883629637,80.24094188002415
06-12-2025 12:53:44,13.0178795,80.2408246666666,2025-12-06,12:53:44,2025-12-06 12:53:44,13.017730883629637,80.24094188002415
06-12-2025 12:53:45,13.0176125,80.2408533333333,2025-12-06,12:53:45,2025-12-06 12:53:45,13.017599507572763,80.24091120038584
06-12-2025 12:53:46,13.0175388333333,80.2409213333333,2025-12-06,12:53:46,2025-12-06 12:53:46,13.017544017820764,80.24089824213144
06-12-2025 12:53:47,13.0174881666666,80.2409268333333,2025-12-06,12:53:47,2025-12-06 12:53:47,13.017508696768097,80.24088999377894
06-12-2025 12:53:48,13.0176238333333,80.2409608333333,2025-12-06,12:53:48,2025-12-06 12:53:48,13.017633209962469,80.24091907074505
06-12-2025 12:53:49,13.0177115,80.2409428333333,2025-12-06,12:53:49,2025-12-06 12:53:49,13.017712669058609,80.24093762645852
06-12-2025 12:53:50,13.0176813333333,80.2409821666666,2025-12-06,12:53:50,2025-12-06 12:53:50,13.017692396522431,80.24093289230632
06-12-2025 12:53:51,13.0178016666666,80.2409863333333,2025-12-06,12:53:51,2025-12-06 12:53:51,13.017730883629637,80.24094188002415
06-12-2025 12:53:52,13.017761,80.24102,2025-12-06,12:53:52,2025-12-06 12:53:52,13.017730883629637,80.24094188002415
06-12-2025 12:53:53,13.0177838333333,80.2409263333333,2025-12-06,12:53:53,2025-12-06 12:53:53,13.017730883629637,80.24094188002415
06-12-2025 12:53:54,13.017604,80.240912,2025-12-06,12:53:54,2025-12-06 12:53:54,13.017603946776592,80.24091223705193
06-12-2025 12:53:55,13.0174493333333,80.2409311666666,2025-12-06,12:53:55,2025-12-06 12:53:55,13.017508696768097,80.24088999377894
06-12-2025 12:53:56,13.0176668333333,80.2408495,2025-12-06,12:53:56,2025-12-06 12:53:56,13.017650316262493,80.24092306549889
