datetime,original_Latitude,original_Longitude,Date,Time,Latitude,Longitude
2025-12-06 10:43:09,13.01538217,80.24048067,2025-12-06,10:43:00,13.0153825936779,80.2404770940716
2025-12-06 10:43:10,13.01545633,80.24052533,2025-12-06,10:43:01,13.015460901702308,80.24048674391149
2025-12-06 10:43:11,13.0155565,80.24055567,2025-12-06,10:43:02,13.015563635338923,80.24050011922152
2025-12-06 10:43:12,13.01561833,80.24050117,2025-12-06,10:43:03,13.015617539969563,80.24050732063317
2025-12-06 10:43:13,13.01570367,80.24053983,2025-12-06,10:43:04,13.015706684823877,80.24051940831822
2025-12-06 10:43:14,13.015712,80.24062467,2025-12-06,10:43:05,13.015727077395061,80.24052253951419
2025-12-06 10:43:15,13.0159215,80.24051667,2025-12-06,10:43:06,13.015916343260336,80.24055160053472
2025-12-06 10:43:16,13.01594533,80.24059283,2025-12-06,10:43:07,13.0159522263882,80.24055794207997
2025-12-06 10:43:17,13.01616517,80.24058333,2025-12-06,10:43:08,13.016161676290164,80.24060100423203
2025-12-06 10:43:18,13.01623217,80.24064733,2025-12-06,10:43:09,13.016238216670915,80.24061674067701
2025-12-06 10:43:19,13.01619267,80.24062,2025-12-06,10:43:10,13.016195067880956,80.24060786942981
2025-12-06 10:43:20,13.01626683,80.24073567,2025-12-06,10:43:11,13.01628830351352,80.2406270383681
2025-12-06 10:43:21,13.01641533,80.2406805,2025-12-06,10:43:12,13.016420524329883,80.24065422255327
2025-12-06 10:43:22,13.0164465,80.240732,2025-12-06,10:43:13,13.016460259595728,80.24066239200428
2025-12-06 10:43:23,13.0165395,80.24065167,2025-12-06,10:43:14,13.016534368697181,80.24067762861857
2025-12-06 10:43:24,13.01667333,80.2407935,2025-12-06,10:43:15,13.016691044844185,80.24071123507723
2025-12-06 10:43:25,13.01668933,80.240806,2025-12-06,10:43:16,13.016708876560788,80.24071522888242
2025-12-06 10:43:26,13.01674117,80.24081267,2025-12-06,10:43:17,13.016759701583515,80.24072661226711
2025-12-06 10:43:27,13.01677017,80.24071883,2025-12-06,10:43:18,13.016768089622168,80.24072849095376
2025-12-06 10:43:28,13.01693283,80.24067483,2025-12-06,10:43:19,13.016919357435482,80.24075745830955
2025-12-06 10:43:29,13.01701217,80.240775,2025-12-06,10:43:20,13.017012455883371,80.24077324665618
2025-12-06 10:43:30,13.01694817,80.2408615,2025-12-06,10:43:21,13.016963902331394,80.24076501257234
2025-12-06 10:43:31,13.0172715,80.24084333,2025-12-06,10:43:22,13.017273753484803,80.2408336806779
2025-12-06 10:43:32,13.01728317,80.24092683,2025-12-06,10:43:23,13.017302991110183,80.24084073599602
2025-12-06 10:43:33,13.017316,80.240864,2025-12-06,10:43:24,13.017320396438786,80.24084490383134
2025-12-06 10:43:34,13.01740533,80.24090083,2025-12-06,10:43:25,13.017413095241398,80.24086710125769
2025-12-06 10:43:35,13.01735217,80.24093217,2025-12-06,10:43:26,13.017369551102103,80.24085667428376
2025-12-06 10:43:36,13.01752833,80.2409455,2025-12-06,10:43:27,13.017539193395567,80.24089711550693
2025-12-06 10:43:37,13.01753333,80.241014,2025-12-06,10:43:28,13.01755855787475,80.24090163759968
2025-12-06 10:43:38,13.01766167,80.24091867,2025-12-06,10:43:29,13.017660166642143,80.24092536581199
2025-12-06 10:43:39,13.0177725,80.24092967,2025-12-06,10:43:30,13.017767457045494,80.24095091123623
2025-12-06 10:43:40,13.01790167,80.24102233,2025-12-06,10:43:31,13.01791025422961,80.24098617270887
2025-12-06 10:43:41,13.017794,80.2409465,2025-12-06,10:43:32,13.017791540793588,80.24095685832867
2025-12-06 10:43:42,13.01798833,80.24088133,2025-12-06,10:43:33,13.01795269916764,80.24099665381219
2025-12-06 10:43:43,13.0179425,80.240941,2025-12-06,10:43:34,13.017930583579867,80.24099119271864
2025-12-06 10:43:44,13.01792483,80.24092817,2025-12-06,10:43:35,13.017911014796354,80.24098636051872
2025-12-06 10:43:45,13.01786083,80.24103867,2025-12-06,10:43:36,13.017875340409672,80.240977551298
2025-12-06 10:43:46,13.018036,80.24096017,2025-12-06,10:43:37,13.018032381805003,80.24100356417365
2025-12-06 10:43:47,13.01801317,80.24102833,2025-12-06,10:43:38,13.018015358070334,80.24100208781464
2025-12-06 10:43:48,13.01793933,80.24100783,2025-12-06,10:43:39,13.01795269916764,80.24099665381219
2025-12-06 10:43:49,13.01789533,80.24098917,2025-12-06,10:43:40,13.01795269916764,80.24099665381219
2025-12-06 10:43:50,13.017936,80.240982,2025-12-06,10:43:41,13.01795269916764,80.24099665381219
2025-12-06 10:43:51,13.01805617,80.240938,2025-12-06,10:43:42,13.018050571748248,80.2410051416706
2025-12-06 10:43:52,13.0180645,80.24097467,2025-12-06,10:43:43,13.018061877527463,80.24100612214828
2025-12-06 10:43:53,13.01803183,80.24095933,2025-12-06,10:43:44,13.018028172205584,80.24100319910215
2025-12-06 10:43:54,13.01802883,80.24100767,2025-12-06,10:43:45,13.01802919538413,80.24100328783585
2025-12-06 10:43:55,13.0181135,80.24098867,2025-12-06,10:43:46,13.0181116846887,80.24101044160452
2025-12-06 10:43:56,13.01804633,80.240951,2025-12-06,10:43:47,13.018041878543125,80.24100438776472
2025-12-06 10:43:57,13.018062,80.24095833,2025-12-06,10:43:48,13.018058042832308,80.24100578958976
2025-12-06 10:43:58,13.01805583,80.24097917,2025-12-06,10:43:49,13.018053642285032,80.24100540795854
2025-12-06 10:43:59,13.01808117,80.24094,2025-12-06,10:43:50,13.018075557834,80.24100730855356
